,TARGET,Predictions
131,165.82121,89.665775
132,238.42484,206.090159
133,26.215443,26.0802132
134,33.12429,26.6184528
135,39.655212,69.9389661
136,11.133139,11.6815316
137,0.034429,0.23652
138,431.8172,370.312584
139,68.22817,70.3619280333333
140,5.321583,14.0149777
141,118.24011,145.6312
142,28.241884,24.9064967
143,586.5062,508.275496
144,193.8036,163.522751
145,9.526952,6.0938326
146,30.471798,29.3663819
147,1.153754,1.3605554
148,2.451,1.8756579
149,7.142489,7.7289635
150,0.424568,0.827963
151,3.4935,3.7948656
152,14.123,11.6383283
153,30.606827,31.6680144
154,19.069334,14.6461057
155,5.4975,2.6544991
156,0.676226,0.6658988
157,4.514341,3.8439274
158,58.238644,38.1349085
159,30.110538,19.564699
160,4.539,6.0183071
161,25.596594,27.2698071
162,23.915651,3.3086882
163,90.85,92.0670726
164,38.39955,33.9336694
165,4.993,5.9748994
166,1557.402,1956.08654
167,5.839786,6.107033
168,-0.04725,0.1427424
169,25.334,232.17612
170,65.37887,68.3849655
171,3.344082,4.7245635
172,141.61441,175.969747
173,2.199855,3.2441034
174,105.389534,109.2302545
175,7.630967,6.9314966
176,21.380173,14.0901796
177,12.596462,12.564329
178,24.67917,17.8057718
179,16.132004,11.2714658
180,225.72595,219.802725
181,4.295867,6.1267115
182,0.625385,1.0465633
183,5.878653,6.0081978
184,15.216031,14.575384
185,1.011818,0.5953264
186,1.096105,4.2242859
187,53.646,60.5898129
188,4.175228,4.2022512
189,4.765797,6.1853783
190,1.04977,1.11840835
191,30.547152,43.7025646
192,24.308,25.7000569
193,203.7325,208.754438
194,19.795,18.8516806
195,34.342525,33.411038
196,23.504646,18.377894
197,13.143359,2.1810693
198,0.522699,0.3563143
199,5.830147,6.6530178
200,0.653194,0.8583481
201,8.187225,9.4864774
202,7.046026,5.2513577
203,2301.0457,2604.10483
204,4.127287,5.4614255
205,2.2825,2.7026034
206,4.713464,3.1758777
207,7.014,13.3205878
208,8.484413,1.6974676
209,24.305866,21.9395707
210,2.733421,0.6016045
211,1.189205,2.9162887
212,2.157215,3.779374
213,0.159415,0.2692736
214,0.510286,0.6688031
215,641.2761,580.493806
216,13.611,13.9397716
217,1.656809,1.5830946
218,15.907551,7.3571898
219,0.025513,0.1587224
220,1.570593,1.5434586
221,0.001586,0.08196615
222,4.872163,2.399203
223,1.142534,1.5106868
224,934.85736,876.559145
225,3.435264,5.1150738
226,5.786163,5.2949964
227,4587.125,5278.70062
228,16.576078,14.9736528
229,6.640759,6.8681507
230,6.525401,8.7495877
231,312.92233,357.716541
232,0.595764,4.7408666
233,5.89175,8.6017855
234,0.568804,0.5404795
235,3.564809,6.0202698
236,2.446366,4.887586
237,6.185828,4.0888992
238,10.135834,10.0103687
239,0.173338,0.3376852
240,4.054045,7.8296265
241,93.86124,97.49977
242,180.56764,180.796506
243,171.96347,142.875961
244,6.214076,5.5739319
245,38.80659,43.407317
246,120.902,126.960803
247,1.311178,2.070732
248,94.54763,72.4144776
249,0.402526,0.9393615
250,44.485985,35.3034396
251,3.839121,0.7865284
252,18.4346,24.2566294
253,8.922192,11.8677544
254,103.569,72.9165373
255,6.712009,7.1550182
256,6.084798,6.391422
257,19.49763,20.7969761
258,13.436549,13.2549098
259,2.382158,51.333518
260,17.915373,11.8854503
261,8.560683,9.53855685
262,36.54307,57.3568214
263,70.3888,76.8443636
264,29.056343,33.0426697
265,3.61176,4.9019926
266,47.757,41.9186965
267,4.950091,4.7541311
268,295.17694,271.797325
269,4.0235,3.3413453
270,5.314085,6.0874554
