,company,year,quarter,IQ_PRIV,IQ_PUB,IQ_TOTAL_REV_NEXT,FORECAST
928,IQ29002360,2013.0,Q2,1,0,14.444999999999993,16.206053
929,IQ4493238,2015.0,Q4,0,1,30.887510000000006,17.572874
930,IQ2480879,2013.0,Q4,0,1,30.915706999999998,7.4575486
931,IQ217677149,2014.0,Q4,1,0,2.638360000000006,5.7982774
932,IQ327573487,2017.0,Q4,0,1,16.137,10.602324
933,IQ8515825,2011.0,Q4,0,1,11.446500000000015,12.711332
934,IQ206404886,2013.0,Q4,0,1,1.527591000000001,4.3516984
935,IQ38557664,2017.0,Q4,0,1,2.8030479999999898,5.914931
936,IQ25410240,2016.0,Q1,1,0,11.89038099999999,13.777189
937,IQ199483,2013.0,Q4,1,0,0.6933089999999993,6.1229234
938,IQ23335210,2009.0,Q4,0,1,6.7268840000000125,19.1434
939,IQ25410240,2013.0,Q1,1,0,11.487815000000012,11.575117
940,IQ4481892,2011.0,Q4,0,1,0.4526459999999872,5.110747
941,IQ20375459,2012.0,Q4,0,1,2.0001609999999914,6.594603
942,IQ38010533,2017.0,Q4,0,1,3.4935000000000116,5.699843
943,IQ24225165,2017.0,Q4,0,1,96.255,57.926834
944,IQ30191,2009.0,Q4,0,1,9.962077999999991,10.35359
945,IQ4493218,2012.0,Q4,0,1,24.131867999999997,20.612974
946,IQ4493238,2017.0,Q4,0,1,44.97331599999998,47.311546
947,IQ22832738,2017.0,Q4,1,0,23.247334999999993,28.485395
948,IQ45541198,2011.0,Q4,0,1,1.3572810000000004,6.5256944
949,IQ46476571,2008.0,Q4,0,1,2.60140100000001,5.368773
950,IQ879091,2014.0,Q4,0,1,10.019000000000005,16.047987
951,IQ36478,2013.0,Q4,0,1,1549.9697,1563.3129
952,IQ168416,2011.0,Q4,0,1,0.5848709999999926,4.4223466
953,IQ37413789,2015.0,Q4,1,0,20.793094999999994,22.922407
954,IQ25198480,2014.0,Q3,1,0,20.855999999999995,24.25311
955,IQ1782116,2010.0,Q3,1,0,172.77525,230.64844
956,IQ2491550,2017.0,Q4,0,1,5.6769999999999925,7.5174546
957,IQ108950379,2015.0,Q4,1,0,7.0663629999999955,8.482298
958,IQ7877993,2017.0,Q4,0,1,5.374317999999988,12.310667
959,IQ32531700,2010.0,Q4,1,0,2.774876000000006,8.187361
960,IQ9845893,2014.0,Q4,0,1,4.194020999999992,5.959975
961,IQ128628,2014.0,Q4,0,1,9.475500000000011,13.064543
962,IQ27856,2016.0,Q4,1,0,14.015235999999987,17.414152
963,IQ407535112,2016.0,Q4,0,1,0.5194380000000081,5.050261
964,IQ47267521,2017.0,Q4,0,1,11.911014999999992,11.688414
965,IQ260582012,2017.0,Q4,0,1,15.270721000000009,18.864653
966,IQ23782495,2011.0,Q4,0,1,0.590676000000002,5.260649
967,IQ46476571,2009.0,Q4,0,1,3.2737339999999904,5.8235917
968,IQ881421,2015.0,Q4,0,1,21.486999999999995,21.88693
969,IQ713996,2012.0,Q4,1,0,5.368353000000013,8.555052
970,IQ8080935,2010.0,Q4,0,1,20.056791000000004,24.19119
971,IQ9284291,2012.0,Q4,1,0,54.373369999999994,64.06799
972,IQ34509,2009.0,Q4,0,1,280.53643999999997,314.85785
973,IQ736446,2006.0,Q4,0,1,6.365881000000002,5.495589
974,IQ226457461,2014.0,Q4,1,0,4.108123000000006,7.2278886
975,IQ13471413,2011.0,Q4,1,0,14.131347000000005,21.766356
976,IQ222421903,2015.0,Q2,1,0,13.55785800000001,15.663527
977,IQ875519,2008.0,Q4,0,1,502.6257,459.83936
978,IQ4948453,2012.0,Q4,0,1,0.3869860000000074,4.601195
979,IQ51660645,2012.0,Q4,1,0,25.87786300000002,28.847998
980,IQ430259,2007.0,Q4,0,1,2.2348149999999976,4.9008317
981,IQ126218,2015.0,Q4,0,1,14.278120999999999,17.283888
982,IQ44743200,2017.0,Q4,0,1,1.6575850000000116,4.93994
983,IQ884125,2014.0,Q4,0,1,5.768018000000012,8.94525
984,IQ27283,2012.0,Q4,0,1,43.382076,24.341673
985,IQ46421935,2008.0,Q4,0,1,0.5214819999999918,4.217131
986,IQ1027520,2013.0,Q4,0,1,37.835857000000004,43.13955
987,IQ311444956,2017.0,Q4,1,0,15.481806000000006,14.672529
988,IQ625637,2016.0,Q4,0,1,2.1624999999999943,5.1755357
989,IQ689325,2017.0,Q4,0,1,15.561777000000006,22.99037
990,IQ37124745,2017.0,Q4,0,1,0.8951089999999908,5.277327
991,IQ111859250,2013.0,Q3,1,0,10.174599,11.807936
992,IQ48965277,2009.0,Q4,0,1,0.6228509999999972,3.4098647
993,IQ139512,2013.0,Q4,1,0,113.1605,126.575745
994,IQ20376079,2008.0,Q4,0,1,50.74745999999999,64.06387
995,IQ881918,2009.0,Q4,0,1,6.336999999999989,7.5057664
996,IQ424449,2009.0,Q4,0,1,51.518974000000014,61.93579
997,IQ46847074,2009.0,Q4,1,0,18.807828999999998,20.135542
998,IQ22580571,2011.0,Q4,0,1,0.6024850000000015,4.6489396
999,IQ7658114,2017.0,Q4,0,1,36.042294,49.82514
1000,IQ45818636,2014.0,Q4,0,1,0.37668500000000904,5.045851
1001,IQ39032559,2017.0,Q4,1,0,41.30817999999998,31.472013
1002,IQ4494496,2010.0,Q4,0,1,342.43273999999997,304.58353
1003,IQ240458301,2007.0,Q4,0,1,35.93860200000002,14.684507
1004,IQ4975204,2017.0,Q4,0,1,1215.8167000000003,853.6893
1005,IQ146287753,2016.0,Q4,1,0,9.23339200000001,12.810911
1006,IQ52807520,2013.0,Q4,1,0,54.262394,55.985947
1007,IQ36334783,2017.0,Q4,0,1,1.9857550000000117,4.8371873
1008,IQ7827957,2002.0,Q4,0,1,5.8236459999999965,7.650603
1009,IQ134659427,2013.0,Q4,0,1,3.117412999999999,5.821959
1010,IQ257267990,2016.0,Q4,0,1,1.7167269999999917,4.9671617
1011,IQ51119084,2010.0,Q4,0,1,7.0887500000000045,13.758696
1012,IQ877727,2015.0,Q4,0,1,4.671999999999997,5.4051957
1013,IQ1882829,2016.0,Q4,0,1,0.7733420000000137,5.8397813
1014,IQ99552165,2013.0,Q4,0,1,35.631,27.374197
1015,IQ741774,2010.0,Q4,0,1,78.95437,111.8199
1016,IQ21770633,2015.0,Q4,0,1,7.629817000000003,9.125929
1017,IQ128628,2012.0,Q4,0,1,12.694500000000005,13.289686
1018,IQ30953350,2008.0,Q4,1,0,3.9462870000000123,7.5989366
1019,IQ10580417,2010.0,Q4,0,1,0.27234300000000644,3.8625777
1020,IQ268031400,2016.0,Q4,0,1,225.35,232.84169
1021,IQ1059156,2010.0,Q4,0,1,81.59693,151.4566
1022,IQ9285909,2014.0,Q4,0,1,5.361329000000012,12.715162
1023,IQ20356331,2011.0,Q4,1,0,45.37048300000001,68.57346
1024,IQ6517040,2011.0,Q4,0,1,1.1899999999999977,4.5787644
1025,IQ825499,2015.0,Q4,1,0,34.67099,24.402822
1026,IQ46496133,2005.0,Q4,1,0,21.715000000000003,21.27867
1027,IQ48711794,2014.0,Q4,1,0,9.936993000000001,17.478651
1028,IQ773678,2008.0,Q4,1,0,36.319670000000016,39.633804
